id,alpha
1029,3.6405287837623983
1030,3.5509553064201835
1031,3.081871697817987
1032,3.563761651528898
1033,4.041732849172598
1034,3.9348824909009186
1035,3.386579231806377
1036,4.4455251050855304
1037,3.860993934881001
1038,3.1910188474756915
1039,3.600584435815963
1040,3.9816451872552463
1041,4.502678566800658
1042,3.4796277760552656
1043,3.228216825658215
1044,3.6813620958486544
1045,3.3207806104953037
1046,4.133931602751055
1047,3.1735257312165928
1048,3.5392020728633113
1049,4.343253113550021
1050,4.111570605757658
1051,3.142369088477078
1052,3.9658102027020106
1053,3.6548223850434325
1054,4.366871421571901
1055,3.3350213124540478
1056,3.0972223509579213
1057,3.870765863232527
1058,4.264379368073373
1059,3.6456435620034693
1060,4.296743252944543
1061,3.8120323552324873
1062,3.7971317147671346
1063,3.3401627401733816
1064,3.476065105562163
1065,3.2379989803682645
1066,4.487432322473644
1067,3.6848239834420338
1068,3.6789653107290143
1069,3.8997535483637304
1070,3.4693075948974084
1071,4.166690979503886
1072,3.6483079337878674
1073,4.2833699709710435
1074,4.223166851252305
1075,4.791779405726699
1076,3.5658930415318104
1077,4.135745799235616
1078,4.233270151849243
1079,3.7210303493420724
1080,4.1137053753171635
1081,4.6129145233071105
1082,3.586599317481981
1083,3.7399593733189755
1084,4.30066469226003
1085,4.036453853613426
1086,3.991084664150716
1087,3.3399499352921667
1088,4.688130699201957
1089,3.746507328873122
1090,4.3128471129739205
1091,4.007529464812928
1092,3.7814530076191697
1093,4.082560426815195
1094,3.8445123140195316
1095,3.7885610805648304
1096,4.674013172216805
1097,4.2298985772533335
1098,4.4882109728522135
1099,4.321719553912993
1100,3.5623551828236963
1101,3.517052854039798
1102,3.9015655802202476
1103,4.266779774768157
1104,4.528646853328179
1105,3.5025456287891017
1106,4.151087751214532
1107,4.11031932433092
1108,3.732299734455052
1109,4.583772551850072
1110,3.6120745089734814
1111,4.043893322879972
1112,3.7583894358899337
1113,4.386829350321267
1114,3.995272501886383
1115,4.251733333810839
1116,4.191502386098096
1117,3.5904391032114407
1118,3.8048714355648454
1119,4.738530319485703
1120,3.6722241031965432
1121,3.623324718894752
1122,3.9093399605884858
1123,3.873286246076553
1124,3.100848578449534
1125,4.203906844118489
1126,2.9611560567591924
1127,4.178564412080796
1128,3.5816970155538237
1129,3.0479137870572592
1130,3.388603314730833
1131,4.1861641583945
1132,2.716068583032659
1133,4.184596118880955
1134,4.483573232610835
1135,4.154370485915297
1136,3.546517793902838
1137,4.046218556984594
1138,3.7269399282075417
1139,4.3431708688072215
1140,4.084126983263214
1141,4.4241659980535495
1142,3.638919443479579
1143,3.8487123906029566
1144,4.540235878550876
1145,3.37070203621484
1146,3.620181003679027
1147,3.723197777535353
1148,3.4283082554315008
1149,3.975576773858626
1150,3.800694953837322
1151,3.6059430201227656
1152,4.391094373388445
1153,2.982332653990543
1154,3.320649949268673
1155,2.824589537768712
1156,4.704759038382362
1157,3.7820389443282605
1158,3.8777215579285578
1159,2.9854985993323724
1160,3.913030793745372
1161,3.514052643158395
1162,3.698157488068667
1163,3.5517262715837448
1164,3.661101588399025
1165,3.6566085623716877
1166,3.0508783725982616
1167,4.435208236559439
1168,4.631289233147862
1169,3.9064649902668687
1170,4.160460559631346
1171,4.499926849419788
1172,3.9341321668082947
1173,3.1234247860540307
1174,2.35596944616451
1175,3.157770650812635
1176,4.086360739656866
1177,4.249181221283347
1178,4.4813959998757396
1179,3.698665910999919
1180,3.8733301309787875
1181,3.2785111498124513
1182,3.920962935269515
1183,3.490016585536891
1184,3.4162565530468885
1185,3.457154740295644
1186,4.06495474665879
1187,4.465550027409175
1188,3.9493534158781887
1189,3.7612913280733213
1190,3.7563792912588228
1191,3.9804161234242073
1192,3.043381113888498
1193,3.6212856548464534
1194,3.869745660580558
1195,3.965587487983879
1196,3.561035457829727
1197,3.6961517337250314
1198,4.47762394460266
1199,4.24903112105374
1200,3.5739981640168996
1201,4.6707506441564925
1202,3.9353241554134053
1203,3.1246069435677715
1204,4.632207157075095
1205,3.6640891773948576
1206,4.206519631602412
1207,3.923244599370557
1208,3.928108927794954
1209,3.3143074961788264
1210,3.583043149836257
1211,3.3204837136163428
1212,3.5050553837199248
1213,4.286074947382914
1214,3.798064115053202
1215,3.8654207877296427
1216,2.8369357420221513
1217,4.357118761579929
1218,3.9053395245531934
1219,3.6894592577281213
1220,3.1001671365543118
1221,3.453003806725353
1222,4.107118002927379
1223,3.705256649344796
1224,4.01687319544195
1225,3.799573004647415
1226,3.6993564465443622
1227,3.6543374922597023
1228,2.89277126118191
1229,3.651911678343703
1230,3.6579831958866045
1231,4.154482848128536
1232,3.729957693447734
1233,3.99721986072383
1234,3.905550655225376
1235,4.182476990547859
1236,3.7611781070778685
1237,2.847260368814607
1238,3.8677620055162967
1239,4.005626382728895
